Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0105.b1.txt,2019.1,995.91,682.13,859.48,1,1,1
1100.b1.txt,1984.23,1051.25,1130.09,525.62,1,1,1
3522.b1.txt,2043.96,1164.84,736.26,461.54,7,7,7
3504.b1.txt,2012.2,1000.0,719.51,475.61,20,20,20
2012.b1.txt,1768.71,1009.07,600.91,578.23,4,4,4
2066.b1.txt,1860.16,1279.68,593.67,395.78,5,5,5
4507.b1.txt,2291.9,1311.29,718.36,456.1,3,3,3
1102.b1.txt,2256.24,975.06,668.93,464.85,4,4,4
3513.b1.txt,2151.64,1270.49,850.41,307.38,6,6,6
3509.b1.txt,1744.05,1087.2,724.8,600.23,10,10,10
2012.b1i.txt,1768.71,1009.07,600.91,578.23,4,4,4
0310.b1.txt,2006.88,963.3,756.88,584.86,7,7,7
4503.b1.txt,1847.29,1046.8,615.76,381.77,8,8,8
1081.b1.txt,1917.1,1108.81,777.2,507.77,5,5,5
2032.b1.txt,1805.73,1232.88,747.2,597.76,2,2,2
0313.b1.txt,1747.05,1028.94,653.8,696.68,1,1,1
3519.b1.txt,1457.36,930.23,806.2,449.61,5,5,5
2042.b1.txt,1586.72,1168.51,738.01,602.71,4,4,4
3508.b1.txt,1869.83,826.45,1043.39,557.85,9,9,9
0304.b1.txt,1752.74,1298.9,719.87,641.63,1,1,1
3013.b1.txt,1967.21,1158.47,918.03,360.66,2,2,2
3501.b1.txt,2314.69,949.28,897.27,416.12,7,7,7
1523.b1.txt,1223.63,1153.31,843.88,689.17,5,5,5
1057.b1.txt,1743.3,1206.9,756.7,689.66,1,1,1
3018.b1.txt,1914.89,1205.67,697.4,531.91,6,6,6
3525.b1.txt,1830.77,1153.85,738.46,369.23,5,5,5
1508.b1.txt,2211.3,1105.65,749.39,577.4,1,1,1
1528.b1.txt,2090.63,1050.46,566.43,288.36,11,11,11
1104.b1i.txt,1813.25,944.63,705.75,542.89,7,7,7
1021.b1.txt,1723.36,907.03,873.02,578.23,2,2,2
1006.b1.txt,1977.01,1022.99,804.6,528.74,6,6,6
0103.b1.txt,2019.44,1015.12,971.92,226.78,10,10,10
0200.b1.txt,2162.16,1081.08,773.96,810.81,4,4,4
3505.b1.txt,1640.38,1146.16,872.77,736.07,8,8,8
1104.b1.txt,1813.25,944.63,705.75,542.89,7,7,7
1541.b1.txt,1986.49,810.81,837.84,567.57,5,5,5
4035.b1.txt,1591.2,1138.42,569.21,698.58,3,3,3
2070.b1i.txt,1936.62,1044.6,598.59,434.27,6,6,6
3511.b1.txt,1693.29,1150.16,894.57,713.53,2,2,2
3518.b1.txt,1694.35,1085.27,553.71,631.23,7,7,7
1500.b1.txt,2243.67,892.64,711.7,530.76,4,4,4
0307.b1.txt,2131.15,841.53,896.17,284.15,15,15,15
2018.b1.txt,2174.8,955.28,802.85,457.32,12,12,12
3503.b1.txt,2393.16,797.72,726.5,370.37,1,1,1
3506.b1.txt,2268.52,925.93,798.61,312.5,3,3,3
1023.b1.txt,1813.36,827.15,1081.65,784.73,6,6,6
0134.b1.txt,1991.15,984.51,785.4,674.78,2,2,2
0122.b1.txt,2159.35,1166.28,715.94,519.63,1,1,1
1097.b1.txt,1981.8,930.23,930.23,576.34,7,7,7
4036.b1.txt,1756.91,1049.72,939.23,475.14,5,5,5
3062.b1.txt,2166.67,940.48,976.19,523.81,3,3,3
1069.b1.txt,1602.16,810.08,621.06,612.06,13,13,13
2049.b1.txt,2121.87,968.44,696.41,511.43,5,5,5
3520.b1.txt,2495.01,868.26,808.38,588.82,3,3,3
1012.b1.txt,2155.17,972.91,800.49,394.09,1,1,1
1066.b1.txt,1918.6,1000.0,1104.65,569.77,4,4,4
2034.b1.txt,1947.37,934.21,605.26,565.79,4,4,4
3515.b1.txt,2167.83,1002.33,920.75,489.51,2,2,2
0308.b1.txt,1884.47,975.38,937.5,719.7,3,3,3
0140.b1.txt,2104.62,1046.23,717.76,535.28,1,1,1
3510.b1.txt,1858.77,861.89,924.2,425.75,17,17,17
4012.b1.txt,2241.57,957.56,674.65,652.88,2,2,2
0139.b1.txt,1860.2,1206.31,744.08,428.41,1,1,1
1520.b1.txt,1971.1,939.11,763.67,526.32,4,4,4
3020.b1.txt,1860.94,1104.29,623.72,398.77,5,5,5
1112.b1.txt,2094.24,1130.89,670.16,565.45,1,1,1
4038.b1.txt,2091.12,992.99,712.62,619.16,1,1,1
3523.b1.txt,2155.17,1088.36,980.6,484.91,11,11,11
2030.b1.txt,1695.76,1022.44,947.63,660.85,2,2,2
1003.b1.txt,2088.4,972.38,939.23,453.04,8,8,8
2070.b1.txt,1943.46,1048.29,600.71,435.81,6,6,6
2028.b1.txt,1728.55,1216.39,614.6,627.4,2,2,2
0300.b1.txt,1700.32,913.92,1126.46,552.6,17,17,17
0171.b1.txt,2010.18,966.92,648.85,559.8,2,2,2
1006.b1i.txt,1977.01,1022.99,804.6,528.74,6,6,6
2019.b1.txt,1585.96,1210.65,811.14,556.9,3,3,3
0165.b1.txt,1989.07,961.75,568.31,590.16,11,11,11
1532.b1.txt,2162.82,838.4,826.25,437.42,3,3,3
3514.b1.txt,2206.3,1017.19,873.93,401.15,11,11,11
2036.b1.txt,1709.53,1225.42,741.3,635.4,1,1,1
