Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0158.b6.txt,1456.2,1262.8,773.61,648.46,4,4,4
0198.b6.txt,1530.76,1173.1,672.39,486.41,4,4,4
0107.b6.txt,1672.96,1220.13,867.92,427.67,3,3,3
0157.b6.txt,1195.65,1345.11,733.7,611.41,3,3,3
0185.b6.txt,1567.8,1299.44,734.46,423.73,3,3,3
0178.b6.txt,1689.26,1105.32,917.62,552.66,4,4,4
0318.b6.txt,1744.19,968.99,843.02,436.05,3,3,3
0223.b6.txt,1668.71,1239.26,625.77,625.77,4,4,4
0151.b6.txt,1469.14,1333.33,654.32,543.21,3,3,3
0137.b6.txt,1721.42,1235.22,906.7,512.48,2,2,2
0219.b6.txt,1715.08,1286.31,553.25,345.78,4,4,4
0238.b6.txt,1374.41,1342.81,837.28,394.94,3,3,3
