Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0223.a5.txt,1572.61,1045.9,669.68,376.22,20,20,20
0182.a5.txt,2267.3,1066.03,731.9,405.73,9,9,9
2026.a5.txt,1817.34,821.03,728.78,433.58,9,9,9
2035.a5.txt,1800.62,865.53,672.33,455.95,5,5,5
0102.a5.txt,1633.94,1044.78,864.1,251.37,12,12,12
0222.a5.txt,1770.33,1148.33,669.86,430.62,4,4,4
2071.a5.txt,2292.68,1017.42,885.02,397.21,3,3,3
0159.a5.txt,2090.2,1058.11,954.03,338.25,1,1,1
1018.a5.txt,2025.64,948.72,888.89,282.05,6,6,6
0105.a5.txt,1559.89,1012.07,547.82,566.39,7,7,7
2075.a5.txt,1977.19,798.48,630.09,412.82,23,23,23
1022.a5.txt,2307.69,1184.79,1016.8,459.77,3,3,3
1036.a5.txt,1388.54,878.98,649.68,305.73,12,12,12
0134.a5.txt,1774.82,953.87,703.67,476.94,4,4,4
1074.a5.txt,1912.81,1058.72,818.51,516.01,6,6,6
1057.a5.txt,1348.95,1163.17,621.97,347.33,10,10,10
1070.a5.txt,1348.92,1142.09,746.4,314.75,17,17,17
0199.a5.txt,1822.47,982.06,764.87,377.71,12,12,12
0215.a5.txt,1753.7,958.69,561.18,280.59,12,12,12
0188.a5.txt,1614.14,953.11,730.21,468.87,9,9,9
0219.a5.txt,2051.97,985.66,878.14,600.36,6,6,6
2040.a5.txt,2023.71,965.28,846.74,338.7,20,20,20
1034.a5.txt,1923.08,1002.02,728.74,384.62,8,8,8
0158.a5.txt,1607.3,1181.58,747.18,573.41,8,8,8
0137.a5.txt,1795.58,1049.72,552.49,451.2,6,6,6
1008.a5.txt,1919.43,1042.65,860.98,426.54,6,6,6
1010.a5.txt,2252.59,885.96,838.83,320.45,14,14,14
1021.a5.txt,1796.18,1133.76,636.94,420.38,8,8,8
1094.a5.txt,1457.78,1333.33,533.33,257.78,11,11,11
0108.a5.txt,2082.36,1048.95,761.46,349.65,15,15,15
1072.a5.txt,1414.89,1039.06,545.32,456.89,18,18,18
2028.a5.txt,2021.78,905.38,762.42,422.06,18,18,18
1068.a5.txt,1959.38,1290.32,752.69,442.05,6,6,6
0193.a5.txt,2156.86,1091.22,826.94,400.68,3,3,3
1081.a5.txt,2024.37,1096.53,843.49,431.12,7,7,7
2039.a5.txt,1234.47,962.73,706.52,434.78,20,20,20
1062.a5.txt,1545.82,852.59,717.13,454.18,18,18,18
1104.a5.txt,1627.91,980.07,581.4,448.5,16,16,16
2019.a5.txt,1794.2,1152.15,650.84,343.01,15,15,15
1005.a5.txt,1789.55,1006.14,576.04,345.62,7,7,7
0178.a5.txt,1547.78,1009.42,767.16,477.79,14,14,14
0122.a5.txt,1703.44,1006.18,741.39,388.35,11,11,11
1023.a5.txt,1647.42,993.07,685.14,423.4,13,13,13
0238.a5.txt,1905.76,1130.89,649.21,324.61,8,8,8
2050.a5.txt,1661.24,855.05,651.47,423.45,21,21,21
1112.a5.txt,1968.56,1077.84,1010.48,516.47,4,4,4
1012.a5.txt,2013.2,1014.85,742.57,313.53,3,3,3
0106.a5.txt,1973.31,953.29,838.89,638.7,3,3,3
1095.a5.txt,1497.84,1038.96,805.19,424.24,10,10,10
0227.a5.txt,1640.29,848.92,769.78,352.52,17,17,17
1032.a5.txt,2129.93,1175.99,666.12,567.43,2,2,2
0234.a5.txt,1606.09,887.57,515.64,312.76,21,21,21
2032.a5.txt,1662.49,902.26,985.8,334.17,9,9,9
2015.a5.txt,1844.08,937.03,742.13,337.33,9,9,9
1064.a5.txt,2156.07,1230.89,595.33,595.33,6,6,6
1088.a5.txt,1361.3,1078.77,873.29,282.53,12,12,12
2020.a5.txt,1977.45,919.34,771.9,277.54,8,8,8
2048.a5.txt,1465.77,714.29,967.26,334.82,24,24,24
0128.a5.txt,1923.44,1129.19,822.97,478.47,9,9,9
2045.a5.txt,1895.02,1040.93,720.64,329.18,14,14,14
0185.a5.txt,1795.95,1020.24,733.56,219.22,10,10,10
0140.a5.txt,1751.56,1000.89,625.56,277.03,11,11,11
0192.a5.txt,1666.67,1097.15,619.77,452.26,11,11,11
