Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0176.a1.txt,1355.19,1245.9,655.74,655.74,2,2,2
3040.a1.txt,1157.02,1652.89,881.54,688.71,1,1,1
2044.a1.txt,1362.47,1426.74,565.55,591.26,3,3,3
1102.a1.txt,1238.74,1351.35,709.46,675.68,5,5,5
1029.a1.txt,1334.89,1334.89,737.7,433.26,1,1,1
0218.a1.txt,1466.35,1418.27,685.1,456.73,1,1,1
1043.a1.txt,1303.85,1292.52,634.92,657.6,1,1,1
0200.a1.txt,1233.96,1342.55,789.73,700.89,6,6,6
1074.a1.txt,1526.51,1261.43,685.56,658.14,1,1,1
2047.a1.txt,1522.01,1295.6,729.56,654.09,1,1,1
0187.a1.txt,1301.55,1430.41,708.76,760.31,1,1,1
1026.a1.txt,1039.18,1303.24,604.77,459.97,3,3,3
2012.a1.txt,1514.36,1070.5,835.51,722.37,6,6,6
2067.a1.txt,1196.36,1365.41,546.16,572.17,2,2,2
2013.a1.txt,1242.36,1140.53,702.65,875.76,1,1,1
0194.a1.txt,1123.6,1440.25,796.73,674.16,3,3,3
0123.a1.txt,1261.03,1336.7,605.3,769.23,3,3,3
1064.a1.txt,1337.28,1266.27,745.56,828.4,1,1,1
2037.a1.txt,1627.59,1172.41,1020.69,606.9,1,1,1
0204.a1.txt,1468.45,1140.78,570.39,521.84,3,3,3
0214.a1.txt,1184.83,1267.77,556.87,817.54,1,1,1
2074.a1.txt,1452.02,946.97,820.71,896.46,3,3,3
1054.a1.txt,1535.98,1471.54,547.8,494.09,3,3,3
2039.a1.txt,1369.54,1463.99,649.35,661.16,1,1,1
2066.a1.txt,1388.54,1324.84,929.94,726.11,1,1,1
0125.a1.txt,1769.5,1094.3,884.75,605.36,2,2,2
2000.a1.txt,1494.46,922.51,756.46,498.15,1,1,1
0195.a1.txt,1184.37,1501.83,622.71,598.29,1,1,1
1031.a1.txt,1188.99,1376.72,588.24,588.24,3,3,3
0134.a1.txt,1322.12,1262.02,709.13,1165.87,1,1,1
2018.a1.txt,1296.09,1687.15,536.31,446.93,1,1,1
3041.a1.txt,1069.36,1242.77,693.64,375.72,1,1,1
1060.a1.txt,780.07,1419.28,530.88,639.22,4,4,4
1066.a1.txt,1307.34,1250.0,561.93,619.27,3,3,3
2022.a1.txt,1204.13,1548.17,711.01,619.27,4,4,4
0188.a1.txt,1117.86,1263.67,656.14,656.14,4,4,4
2017.a1.txt,1649.87,1108.31,667.51,516.37,2,2,2
0236.a1.txt,1117.09,1467.03,578.73,659.49,1,1,1
2027.a1.txt,1443.3,1191.29,767.47,675.83,4,4,4
1027.a1.txt,1497.52,1448.02,594.06,321.78,5,5,5
0167.a1.txt,1239.5,1155.46,598.74,945.38,3,3,3
1106.a1.txt,1612.55,1060.61,606.06,606.06,4,4,4
0235.a1.txt,1589.4,1099.34,728.48,503.31,1,1,1
2045.a1.txt,1650.12,1439.21,632.75,558.31,2,2,2
0227.a1.txt,1336.46,1395.08,703.4,574.44,2,2,2
0238.a1.txt,1152.37,1434.06,717.03,396.93,1,1,1
1009.a1.txt,1668.67,1176.47,636.25,468.19,7,7,7
