Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0151.b7.txt,1892.9,1108.34,871.73,423.41,4,4,4
0178.b7.txt,1979.33,1001.59,930.05,715.42,7,7,7
0223.b7.txt,1966.85,1049.72,817.68,441.99,3,3,3
0107.b7.txt,1611.11,1088.89,1033.33,522.22,7,7,7
0219.b7.txt,2044.44,988.89,988.89,577.78,4,4,4
0137.b7.txt,2104.23,943.95,806.29,344.15,8,8,8
0157.b7.txt,1264.5,1206.5,870.07,591.65,8,8,8
0106.b7.txt,1741.34,1242.36,835.03,509.16,3,3,3
0158.b7.txt,1836.03,1200.92,704.39,496.54,4,4,4
0185.b7.txt,1793.59,1162.32,801.6,611.22,2,2,2
0224.b7.txt,2067.57,1040.54,905.41,310.81,5,5,5
0238.b7.txt,1666.67,1202.53,727.85,537.97,5,5,5
0198.b7.txt,1995.16,1039.9,798.07,519.95,4,4,4
0186.b7.txt,1713.62,1068.08,727.7,633.8,3,3,3
0318.b7.txt,2083.33,898.44,820.31,481.77,2,2,2
