Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0192.a3.txt,1524.31,1274.64,565.05,210.25,2,2,2
4048.a3.txt,1997.44,985.92,665.81,653.01,5,5,5
4026.a3.txt,2588.24,1058.82,875.82,339.87,2,2,2
0208.a3.txt,1946.39,1212.12,477.86,757.58,1,1,1
2058.a3.txt,1937.23,1082.25,573.59,616.88,8,8,8
0214.a3.txt,1688.31,968.12,838.25,543.09,9,9,9
0169.a3.txt,2132.7,1042.65,604.27,438.39,6,6,6
1094.a3.txt,1867.32,1240.79,638.82,515.97,2,2,2
4047.a3.txt,1569.12,1220.42,684.93,747.2,4,4,4
5007.a3.txt,1858.59,979.8,686.87,474.75,13,13,13
1072.a3.txt,2164.18,980.81,756.93,501.07,2,2,2
2042.a3.txt,1759.38,1228.98,608.02,595.08,4,4,4
0134.a3.txt,2047.62,964.29,976.19,607.14,1,1,1
2024.a3.txt,1807.36,1222.94,573.59,519.48,1,1,1
1106.a3.txt,1884.82,1191.1,602.09,418.85,3,3,3
0227.a3.txt,1900.94,1111.11,682.73,481.93,3,3,3
3063.a3.txt,2092.49,1086.71,554.91,612.72,4,4,4
1017.a3.txt,1950.67,1244.39,751.12,571.75,1,1,1
0110.a3.txt,1960.54,1233.05,678.18,493.22,2,2,2
2074.a3.txt,1997.49,1067.84,753.77,502.51,10,10,10
0175.a3.txt,1875.0,1162.5,537.5,400.0,2,2,2
1032.a3.txt,1566.13,1264.5,765.66,672.85,1,1,1
0221.a3.txt,1871.51,1256.98,572.63,321.23,1,1,1
2061.a3.txt,2044.69,1173.18,625.7,547.49,3,3,3
0173.a3.txt,2085.64,1201.66,566.3,497.24,2,2,2
2045.a3.txt,1914.11,1092.02,711.66,478.53,6,6,6
2050.a3.txt,2203.59,994.01,826.35,371.26,4,4,4
1074.a3.txt,1876.43,1132.72,686.5,457.67,3,3,3
0101.a3.txt,1917.5,1103.68,691.19,457.08,5,5,5
2020.a3.txt,2012.1,1059.0,862.33,620.27,1,1,1
3001.a3.txt,1965.6,1240.79,626.54,380.84,1,1,1
1112.a3.txt,1737.03,1278.65,615.2,530.76,2,2,2
1095.a3.txt,2004.77,1062.05,560.86,417.66,5,5,5
1043.a3.txt,1816.01,1051.37,681.0,621.27,7,7,7
2048.a3.txt,2057.61,956.79,720.16,329.22,9,9,9
2067.a3.txt,1851.37,1225.55,625.81,338.98,2,2,2
2047.a3.txt,1963.41,1134.15,890.24,475.61,2,2,2
2059.a3.txt,2079.21,1076.73,767.33,371.29,13,13,13
5035.a3.txt,2027.6,934.18,902.34,668.79,5,5,5
4039.a3.txt,1682.0,1327.2,657.03,617.61,1,1,1
0237.a3.txt,2276.73,930.82,842.77,364.78,3,3,3
0198.a3.txt,1828.84,1008.21,457.21,492.38,4,4,4
4010.a3.txt,1517.24,1211.82,729.06,640.39,3,3,3
1100.a3.txt,2199.75,1011.38,758.53,404.55,1,1,1
5016.a3.txt,1642.58,972.4,643.89,617.61,6,6,6
2065.a3.txt,2039.88,1180.98,414.11,444.79,6,6,6
0202.a3.txt,1960.78,1158.65,909.09,409.98,1,1,1
2036.a3.txt,1719.96,1113.56,507.17,606.39,4,4,4
4004.a3.txt,1965.6,1253.07,577.4,466.83,3,3,3
4028.a3.txt,1381.14,1367.86,597.61,664.01,2,2,2
2008.a3.txt,1960.78,952.38,854.34,490.2,5,5,5
