Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0200.b5.txt,1675.94,989.49,711.19,500.93,11,11,11
0165.b5.txt,1713.68,923.84,655.85,394.92,13,13,13
2066.b5.txt,1299.44,1396.29,508.47,371.27,11,11,11
1532.b5.txt,1568.93,1203.35,388.42,365.58,16,16,16
2019.b5.txt,1341.09,1108.53,480.62,341.09,11,11,11
0300.b5.txt,1719.61,794.2,766.57,400.55,20,20,20
1003.b5.txt,1479.17,1131.94,541.67,402.78,12,12,12
1023.b5.txt,1388.89,1211.58,650.12,579.2,17,17,17
3020.b5.txt,1669.41,838.82,781.25,263.16,10,10,10
1100.b5.txt,1755.51,1044.78,732.05,326.94,15,15,15
3018.b5.txt,1437.82,1036.27,680.05,518.13,10,10,10
2028.b5.txt,1304.59,1327.28,459.44,380.03,15,15,15
1533.b5.txt,1514.53,1223.91,478.92,421.61,15,15,15
2032.b5.txt,932.8,1208.63,536.61,491.47,16,16,16
1021.b5.txt,1722.4,996.85,561.51,321.77,15,15,15
1508.b5.txt,1210.76,1165.92,403.59,435.62,21,21,21
0310.b5.txt,1554.01,998.1,802.27,518.0,12,12,12
1057.b5.txt,1512.22,960.77,790.22,443.43,11,11,11
0140.b5.txt,1405.75,984.03,568.69,498.4,13,13,13
2034.b5.txt,1530.99,926.06,739.36,448.1,12,12,12
0103.b5.txt,1718.67,1043.48,838.87,373.4,13,13,13
