Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
3523.b2.txt,2273.13,1189.43,678.41,352.42,9,9,9
1541.b2.txt,2022.94,844.63,875.91,594.37,4,4,4
1528.b2.txt,1743.77,1067.62,818.51,275.8,7,7,7
1532.b2.txt,1487.23,985.4,857.66,510.95,13,13,13
3501.b2.txt,1742.83,882.04,626.99,265.67,17,17,17
1104.b2i.txt,1832.36,1072.12,555.56,487.33,4,4,4
1006.b2.txt,1798.11,988.43,641.43,431.13,2,2,2
3508.b2.txt,2000.0,1080.65,822.58,338.71,5,5,5
0140.b2.txt,2005.99,1007.98,558.88,508.98,7,7,7
3511.b2.txt,1909.5,1113.12,561.09,389.14,9,9,9
1057.b2.txt,1767.79,1101.12,711.61,501.87,5,5,5
3504.b2.txt,2007.54,1065.03,640.9,320.45,4,4,4
0300.b2.txt,1693.55,1308.24,779.57,376.34,6,6,6
3506.b2.txt,1817.2,1053.76,526.88,408.6,6,6,6
3503.b2.txt,2094.59,934.68,765.77,349.1,11,11,11
3013.b2.txt,1568.86,982.04,670.66,407.19,15,15,15
2070.b2.txt,1671.55,1153.47,723.36,478.98,8,8,8
0103.b2.txt,2133.33,1102.22,533.33,382.22,2,2,2
3507.b2.txt,1692.82,957.89,933.11,363.34,7,7,7
0134.b2.txt,1728.5,927.49,1138.28,649.24,4,4,4
3520.b2.txt,2017.41,1083.86,680.38,356.01,7,7,7
1003.b2.txt,1811.13,1190.17,789.13,362.23,6,6,6
3505.b2.txt,1834.76,1223.18,772.53,397.0,3,3,3
1508.b2.txt,1440.76,1336.49,568.72,341.23,7,7,7
4012.b2.txt,1984.59,1069.36,635.84,462.43,1,1,1
2070.b2i.txt,1666.67,1150.1,721.25,477.58,8,8,8
2030.b2.txt,1593.86,1357.73,543.09,554.9,1,1,1
2012.b2.txt,1847.48,827.07,773.36,214.82,6,6,6
1100.b2.txt,1520.0,1085.71,685.71,457.14,6,6,6
3518.b2.txt,1291.62,1231.08,565.09,312.82,17,17,17
4036.b2.txt,1643.96,990.01,762.94,445.05,23,23,23
1112.b2.txt,1965.41,959.12,581.76,330.19,17,17,17
1097.b2.txt,1716.42,1000.0,679.1,514.93,8,8,8
2034.b2.txt,1726.73,1021.02,540.54,510.51,9,9,9
1520.b2.txt,1752.07,1173.55,603.31,413.22,9,9,9
0165.b2.txt,1856.76,1043.32,751.55,318.3,2,2,2
1021.b2.txt,1998.21,1039.43,618.28,358.42,8,8,8
4038.b2.txt,1949.95,1303.44,531.8,510.95,3,3,3
1104.b2.txt,1832.36,1072.12,555.56,487.33,4,4,4
2066.b2.txt,2088.61,1151.9,936.71,481.01,5,5,5
3522.b2.txt,1907.73,1047.38,798.0,523.69,6,6,6
2032.b2.txt,1918.6,1046.51,770.35,348.84,6,6,6
1006.b2i.txt,1798.11,988.43,641.43,431.13,2,2,2
3020.b2.txt,1814.63,1102.44,526.83,243.9,4,4,4
2028.b2i.txt,1858.61,1265.68,820.98,342.08,3,3,3
0310.b2.txt,2310.8,928.36,524.72,454.09,6,6,6
0139.b2.txt,1520.09,1216.07,912.05,477.74,6,6,6
0313.b2.txt,1505.04,1039.57,853.37,457.72,11,11,11
3519.b2.txt,1630.43,1186.59,679.35,380.43,4,4,4
0308.b2.txt,1556.64,961.7,920.95,627.55,7,7,7
2019.b2.txt,1650.6,1156.63,771.08,578.31,3,3,3
0200.b2.txt,1713.75,1120.53,979.28,593.22,12,12,12
1023.b2.txt,1499.44,958.29,676.44,473.51,11,11,11
1533.b2.txt,1808.9,1196.21,707.51,313.64,6,6,6
3525.b2.txt,1780.35,1075.14,820.81,416.18,10,10,10
3509.b2.txt,1908.63,984.77,862.94,497.46,6,6,6
2028.b2.txt,1903.11,1257.21,818.92,357.55,3,3,3
