Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0135.a4.txt,1670.24,1017.13,706.64,546.04,13,13,13
2061.a4.txt,1292.78,1055.13,674.9,361.22,12,12,12
1067.a4.txt,1459.0,969.12,564.43,447.28,7,7,7
0216.a4.txt,1449.28,1253.2,434.78,298.38,11,11,11
3042.a4.txt,1253.76,1344.03,591.78,581.75,6,6,6
1032.a4.txt,1177.04,1245.14,632.3,564.2,13,13,13
2062.a4.txt,1253.59,1167.46,612.44,440.19,8,8,8
0238.a4.txt,1444.65,1294.56,450.28,337.71,8,8,8
2067.a4.txt,1295.34,1088.08,559.59,424.87,11,11,11
0102.a4.txt,1555.34,1106.87,572.52,353.05,15,15,15
4028.a4.txt,1446.03,1283.1,509.16,498.98,3,3,3
1018.a4.txt,1519.29,1181.67,627.01,426.05,12,12,12
1065.a4.txt,1372.05,1144.78,681.82,404.04,11,11,11
2048.a4.txt,1669.22,1003.06,735.07,313.94,11,11,11
2019.a4.txt,1517.31,1252.55,509.16,417.52,8,8,8
1008.a4.txt,1621.09,986.33,673.83,546.88,13,13,13
0119.a4.txt,1522.2,1321.35,475.69,348.84,4,4,4
2042.a4.txt,1425.8,1057.23,669.25,261.88,12,12,12
0161.a4.txt,1676.36,1065.89,687.98,281.01,8,8,8
0234.a4.txt,1634.82,966.03,764.33,520.17,12,12,12
2022.a4.txt,1466.5,1226.3,530.97,353.98,12,12,12
0213.a4.txt,1752.05,1065.57,461.07,471.31,6,6,6
1074.a4.txt,1436.31,1029.81,704.61,469.74,12,12,12
4023.a4.txt,1296.47,1115.35,600.57,543.37,9,9,9
0218.a4.txt,1268.88,1137.97,614.3,211.48,9,9,9
2064.a4.txt,1407.41,1195.77,518.52,359.79,9,9,9
0190.a4.txt,1312.82,1025.64,471.79,358.97,12,12,12
2030.a4.txt,1348.12,1262.8,469.28,418.09,9,9,9
0237.a4.txt,1497.38,1172.77,732.98,481.68,4,4,4
2055.a4.txt,1447.64,975.36,574.95,349.08,12,12,12
1121.a4.txt,1526.79,1071.43,571.43,500.0,10,10,10
2014.a4.txt,1363.24,1052.63,655.74,405.52,12,12,12
0105.a4.txt,1436.59,1122.33,549.94,707.07,8,8,8
0139.a4.txt,1406.25,825.89,725.45,323.66,9,9,9
4045.a4.txt,1455.58,1077.5,548.2,529.3,8,8,8
0108.a4.txt,1453.07,1353.79,532.49,424.19,9,9,9
0204.a4.txt,1448.28,1080.46,528.74,356.32,10,10,10
0222.a4.txt,1709.58,1194.64,648.82,381.05,5,5,5
0219.a4.txt,1244.77,1182.01,669.46,617.15,9,9,9
1012.a4.txt,1751.97,925.2,767.72,364.17,9,9,9
0194.a4.txt,1708.29,1148.85,569.43,389.61,10,10,10
1076.a4.txt,1537.12,1048.03,567.69,279.48,11,11,11
0235.a4.txt,1434.55,1151.83,659.69,282.72,7,7,7
2072.a4.txt,1698.66,1161.23,623.8,460.65,10,10,10
0227.a4.txt,1747.13,1057.47,360.15,352.49,11,11,11
0224.a4.txt,1272.5,1123.53,645.56,378.65,10,10,10
1095.a4.txt,1541.02,1119.73,709.53,532.15,11,11,11
0192.a4.txt,1753.65,1189.98,427.97,365.34,4,4,4
0121.a4.txt,1444.16,1066.33,570.95,445.0,13,13,13
2011.a4.txt,1769.09,931.1,726.26,391.06,12,12,12
1014.a4.txt,1389.45,1288.03,557.81,395.54,10,10,10
0112.a4.txt,1434.38,1180.06,528.99,376.4,4,4,4
2000.a4.txt,1768.92,940.7,613.5,409.0,9,9,9
2007.a4.txt,1380.0,1110.0,490.0,440.0,11,11,11
0169.a4.txt,1463.94,1280.95,699.68,355.22,4,4,4
1017.a4.txt,1549.4,1032.93,755.99,523.95,6,6,6
0205.a4.txt,1408.0,1048.0,456.0,464.0,15,15,15
1094.a4.txt,1201.67,1159.87,564.26,616.51,10,10,10
0215.a4.txt,1791.4,955.41,557.32,294.59,9,9,9
5009.a4.txt,1429.5,1031.33,691.91,326.37,8,8,8
2035.a4.txt,1501.44,1126.08,375.36,442.73,5,5,5
1102.a4.txt,1389.43,1095.89,812.13,401.17,12,12,12
1048.a4.txt,1427.3,1302.41,517.4,526.32,10,10,10
0187.a4.txt,1342.79,1299.13,534.93,327.51,7,7,7
4030.a4.txt,1370.37,1333.33,453.7,546.3,9,9,9
2065.a4.txt,1014.76,1180.81,562.73,415.13,9,9,9
1003.a4.txt,1879.82,1063.17,616.33,308.17,6,6,6
2031.a4.txt,1542.06,953.27,691.59,467.29,16,16,16
2038.a4.txt,1775.03,959.75,588.24,443.76,10,10,10
